"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 288, 67 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,8,8,"UG(ATD[288,13])",2488
"C4[ 288, 68 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,4,8,"UG(ATD[288,15])",2489
"C4[ 288, 69 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,8,8,"UG(ATD[288,17])",2490
"C4[ 288, 70 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,6,7,"UG(ATD[288,19])",2491
"C4[ 288, 71 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,2,6,9,"UG(ATD[288,21])",2492
"C4[ 288, 72 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,4,9,"UG(ATD[288,23])",2493
"C4[ 288, 73 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,4,8,"UG(ATD[288,24])",2494
"C4[ 288, 74 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,2,6,8,"UG(ATD[288,25])",2495
"C4[ 288, 75 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,6,8,"UG(ATD[288,27])",2496
"C4[ 288, 76 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,8,8,"UG(ATD[288,32])",2497
"C4[ 288, 77 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,8,"UG(ATD[288,36])",2498
"C4[ 288, 78 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,8,8,"UG(ATD[288,39])",2499
"C4[ 288, 79 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,43])",2500
"C4[ 288, 80 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,8,7,"UG(ATD[288,46])",2501
"C4[ 288, 81 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,49])",2502
"C4[ 288, 82 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,52])",2503
"C4[ 288, 83 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,7,"UG(ATD[288,55])",2504
"C4[ 288, 84 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,8,8,"UG(ATD[288,58])",2505
"C4[ 288, 85 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,12,"UG(ATD[288,62])",2506
"C4[ 288, 86 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,8,8,"UG(ATD[288,65])",2507
"C4[ 288, 87 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,8,"UG(ATD[288,69])",2508
"C4[ 288, 88 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,8,7,"UG(ATD[288,72])",2509
"C4[ 288, 89 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,12,"UG(ATD[288,75])",2510
"C4[ 288, 90 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,9,"UG(ATD[288,84])",2511
"C4[ 288, 91 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,6,9,"UG(ATD[288,87])",2512
"C4[ 288, 92 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,9,"UG(ATD[288,88])",2513
"C4[ 288, 93 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,7,"UG(ATD[288,91])",2514
"C4[ 288, 94 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,7,"UG(ATD[288,94])",2515
"C4[ 288, 95 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,12,"UG(ATD[288,97])",2516
"C4[ 288, 96 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,12,"UG(ATD[288,100])",2517
"C4[ 288, 97 ]",288,576,dart-transitive,TRUE,TRUE,4608,16,4,3,8,9,"UG(ATD[288,103])",2518
"C4[ 288, 98 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,106])",2519
"C4[ 288, 99 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,109])",2520
"C4[ 288, 100 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,112])",2521
"C4[ 288, 101 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,7,"UG(ATD[288,115])",2522
"C4[ 288, 102 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,118])",2523
"C4[ 288, 103 ]",288,576,dart-transitive,TRUE,TRUE,4608,16,4,3,8,9,"UG(ATD[288,121])",2524
"C4[ 288, 104 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,2,6,8,"UG(ATD[288,124])",2525
"C4[ 288, 105 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,2,6,8,"UG(ATD[288,126])",2526
"C4[ 288, 106 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,2,3,8,"UG(ATD[288,128])",2527
"C4[ 288, 107 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,2,6,8,"UG(ATD[288,130])",2528
"C4[ 288, 108 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,2,3,10,"UG(ATD[288,132])",2529
"C4[ 288, 109 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,2,6,9,"UG(ATD[288,134])",2530
"C4[ 288, 110 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,12,"UG(ATD[288,181])",2531
"C4[ 288, 111 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,18,"UG(ATD[288,184])",2532
"C4[ 288, 112 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,196])",2533
"C4[ 288, 113 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,1,8,9,"UG(ATD[288,199])",2534
"C4[ 288, 114 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,18,"UG(ATD[288,200])",2535
"C4[ 288, 115 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,203])",2536
"C4[ 288, 116 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,18,"UG(ATD[288,206])",2537
"C4[ 288, 117 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,209])",2538
"C4[ 288, 118 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,212])",2539
"C4[ 288, 119 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,7,"UG(ATD[288,215])",2540
"C4[ 288, 120 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,218])",2541
"C4[ 288, 121 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,9,"UG(ATD[288,221])",2542
"C4[ 288, 122 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,7,"UG(ATD[288,224])",2543
"C4[ 288, 123 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,227])",2544
"C4[ 288, 124 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,9,"UG(ATD[288,230])",2545
"C4[ 288, 125 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,8,"UG(ATD[288,233])",2546
"C4[ 288, 126 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,236])",2547
"C4[ 288, 127 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,8,9,"UG(ATD[288,239])",2548
"C4[ 288, 128 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,242])",2549
"C4[ 288, 129 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,245])",2550
"C4[ 288, 130 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,9,"UG(ATD[288,248])",2551
"C4[ 288, 131 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"UG(ATD[288,251])",2552
"C4[ 288, 132 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,2,6,7,"UG(ATD[288,255])",2553
"C4[ 288, 133 ]",288,576,dart-transitive,TRUE,FALSE,2304,8,2,1,6,7,"UG(ATD[288,257])",2554
"C4[ 288, 134 ]",288,576,dart-transitive,TRUE,FALSE,2304,8,2,1,3,12,"UG(ATD[288,258])",2555
"C4[ 288, 135 ]",288,576,dart-transitive,TRUE,FALSE,4608,16,4,1,8,8,"UG(ATD[288,259])",2556
"C4[ 288, 136 ]",288,576,dart-transitive,TRUE,FALSE,4608,16,4,1,8,8,"UG(ATD[288,260])",2557
"C4[ 288, 137 ]",288,576,dart-transitive,TRUE,FALSE,2304,8,2,1,8,8,"UG(ATD[288,261])",2558
"C4[ 288, 138 ]",288,576,semisymmetric,TRUE,TRUE,589824,4096,1024,0,4,10,"PL(ATD[6,1]#ATD[12,1])",2559
"C4[ 288, 139 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,12,"PL(ATD[6,1]#ATD[12,3])",2560
"C4[ 288, 140 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,10,"PL(ATD[6,1]#ATD[36,6])",2561
"C4[ 288, 141 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,4,8,"PL(ATD[8,1]#ATD[18,2])",2562
"C4[ 288, 142 ]",288,576,semisymmetric,TRUE,TRUE,589824,4096,1024,0,4,8,"PL(ATD[8,2]#ATD[36,4])",2563
"C4[ 288, 143 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,10,"PL(ATD[9,1]#ATD[24,7])",2564
"C4[ 288, 144 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(ATD[9,1]#ATD[24,9])",2565
"C4[ 288, 145 ]",288,576,semisymmetric,TRUE,TRUE,4608,32,8,0,4,8,"PL(ATD[9,1]#ATD[24,14])",2566
"C4[ 288, 146 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(ATD[12,1]#DCyc[6])",2567
"C4[ 288, 147 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,12,"PL(ATD[12,2]#ATD[12,3])",2568
"C4[ 288, 148 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,4,10,"PL(ATD[18,2]#DCyc[8])",2569
"C4[ 288, 149 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(ATD[24,8]#DCyc[3])",2570
"C4[ 288, 150 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(ATD[24,10]#DCyc[3])",2571
"C4[ 288, 151 ]",288,576,semisymmetric,TRUE,TRUE,37748736,262144,65536,0,4,12,"PL(ATD[36,2]#DCyc[4])",2572
"C4[ 288, 152 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,12,"PL(ATD[36,7]#DCyc[4])",2573
"C4[ 288, 153 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,10,"XI(Rmap(144,3){3,6|6}_24)",2574
"C4[ 288, 154 ]",288,576,semisymmetric,FALSE,TRUE,27200830941329156e8,1888946593147858e7,4722366482869645e6,0,4,12,"SDD({4,4}_6,6)",2575
"C4[ 288, 155 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,4,8,"XI(Rmap(144,15){6,6|6}_6)",2576
"C4[ 288, 156 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"XI(Rmap(144,17){6,6|12}_24)",2577
"C4[ 288, 157 ]",288,576,semisymmetric,TRUE,TRUE,2415919104,16777216,4194304,0,4,10,"XI(Rmap(144,18){6,6|12}_24)",2578
"C4[ 288, 158 ]",288,576,semisymmetric,TRUE,TRUE,36864,256,64,0,4,9,"XI(Rmap(144,20){4,18|4}_36)",2579
"C4[ 288, 159 ]",288,576,semisymmetric,FALSE,TRUE,4456584141427369e13,3094850098213451e11,7737125245533627e10,0,4,18,"SDD(R_36(20,19))",2580
"C4[ 288, 160 ]",288,576,semisymmetric,FALSE,TRUE,23365335863406724e18,16225927682921336e16,4056481920730334e16,0,4,36,"SDD(W(36,2))",2581
"C4[ 288, 161 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,10,"SDD(UG(ATD[72,13]))",2582
"C4[ 288, 162 ]",288,576,semisymmetric,FALSE,TRUE,27200830941329156e8,1888946593147858e7,4722366482869645e6,0,4,12,"SDD(PS(6,24;7))",2583
"C4[ 288, 163 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,24,"SDD(DW(24,3))",2584
"C4[ 288, 164 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,18,"SDD(C_72(1,17))",2585
"C4[ 288, 165 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,9,"XI(Rmap(144,190){4,18|4}_18)",2586
"C4[ 288, 166 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,9,"XI(Rmap(144,198){8,18|8}_9)",2587
"C4[ 288, 167 ]",288,576,dart-transitive,TRUE,FALSE,1152,4,1,0,8,6,"UG(Cmap(576,9){8,4|12}_12)",2588
"C4[ 288, 168 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,10,"XI(Cmap(144,1){4,8|6}_8)",2589
"C4[ 288, 169 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,12,"PL(CSI(Octahedron[3^4],12))",2590
"C4[ 288, 170 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,12,"PL(CSI(W(12,2)[12^4],3))",2591
"C4[ 288, 171 ]",288,576,semisymmetric,TRUE,TRUE,4608,32,8,0,4,8,"BGCG(R_12(8,7),C_6,{7,8})",2592
"C4[ 288, 172 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(CSI(R_12(11,4)[3^16],3))",2593
"C4[ 288, 173 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(CSI(R_12(5,10)[6^8],3))",2594
"C4[ 288, 174 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,18,"PL(CS(W(18,2)[18^4],0))",2595
"C4[ 288, 175 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,18,"PL(CS(W(18,2)[18^4],1))",2596
"C4[ 288, 176 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,12,"PL(CS(DW(12,3)[12^6],1))",2597
"C4[ 288, 177 ]",288,576,semisymmetric,TRUE,TRUE,1179648,8192,2048,0,4,12,"PL(CS({4,4}_6,0[6^12],1))",2598
"C4[ 288, 178 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,12,"PL(CS({4,4}_6,0[12^6],1))",2599
"C4[ 288, 179 ]",288,576,semisymmetric,TRUE,TRUE,37748736,262144,65536,0,4,12,"PL(CS({4,4}_6,0[4^18],1))",2600
"C4[ 288, 180 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG({4,4}_6,0,C_4,{1,2})",2601
"C4[ 288, 181 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,8,8,"BGCG({4,4}_6,0,C_4,{3,5,9,10})",2602
"C4[ 288, 182 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"BGCG({4,4}_6,0,C_4,{6,7})",2603
"C4[ 288, 183 ]",288,576,semisymmetric,TRUE,TRUE,36864,256,64,0,4,9,"PL(CS(R_18(11,10)[9^8],1))",2604
"C4[ 288, 184 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,9,"PL(CS(R_18(11,10)[18^4],0))",2605
"C4[ 288, 185 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,9,"PL(CS(R_18(11,10)[18^4],1))",2606
"C4[ 288, 186 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,10,"PL(CS(Pr_12(1,1,5,5)[12^6],1))",2607
"C4[ 288, 187 ]",288,576,semisymmetric,TRUE,TRUE,589824,4096,1024,0,4,10,"PL(CS(Pr_12(1,1,5,5)[6^12],1))",2608
"C4[ 288, 188 ]",288,576,semisymmetric,TRUE,TRUE,2415919104,16777216,4194304,0,4,10,"PL(CS(Pr_12(1,1,5,5)[3^24],1))",2609
"C4[ 288, 189 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(Pr_12(1,1,5,5),C_4,1)",2610
"C4[ 288, 190 ]",288,576,semisymmetric,TRUE,TRUE,589824,4096,1024,0,4,8,"PL(CS(AMC(4,3,[0.1:1.2])[6^12],1))",2611
"C4[ 288, 191 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"BGCG(MPS(4,24;5),C_3,3)",2612
"C4[ 288, 192 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,10,"BGCG(R_24(20,7),C_3,{3,5})",2613
"C4[ 288, 193 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"BGCG(R_24(20,7),C_3,{4,6})",2614
"C4[ 288, 194 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(R_24(8,19),C_3,1)",2615
"C4[ 288, 195 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(R_24(8,19),C_3,2)",2616
"C4[ 288, 196 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(R_24(8,19),C_3,{3,6})",2617
"C4[ 288, 197 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(R_24(8,19),C_3,{4,5})",2618
"C4[ 288, 198 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(PX(6,3),C_3,{1,2})",2619
"C4[ 288, 199 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(PX(6,3),C_3,6)",2620
"C4[ 288, 200 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(PX(6,3),C_3,7)",2621
"C4[ 288, 201 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(PX(6,3),C_3,8)",2622
"C4[ 288, 202 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(PX(6,3),C_3,9)",2623
"C4[ 288, 203 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(PX(6,3),C_3,10)",2624
"C4[ 288, 204 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(KE_12(1,7,4,9,1),C_3,10)",2625
"C4[ 288, 205 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(KE_12(1,7,4,9,1),C_3,11)",2626
"C4[ 288, 206 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(AMC(3,8,[5.5:5.2]),C_3,2)",2627
"C4[ 288, 207 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,18,"SDD(C_72(1,19))",2628
"C4[ 288, 208 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,8,"BGCG({4,4}_6,6;K2;{2,5})",2629
"C4[ 288, 209 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,8,"BGCG({4,4}_6,6;K2;{13,16})",2630
"C4[ 288, 210 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,12,"SDD({4,4}_<9,3>)",2631
"C4[ 288, 211 ]",288,576,semisymmetric,FALSE,TRUE,27200830941329156e8,1888946593147858e7,4722366482869645e6,0,4,12,"SDD(PS(6,24;5))",2632
"C4[ 288, 212 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,10,"SDD(R_36(29,10))",2633
"C4[ 288, 213 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,10,"SDD(R_36(11,28))",2634
"C4[ 288, 214 ]",288,576,semisymmetric,FALSE,TRUE,4352132950612665e10,3022314549036573e8,7555786372591432e7,0,4,12,"SDD(PX(9,3))",2635
"C4[ 288, 215 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,12,"SDD(Pr_24(1,1,5,5))",2636
"C4[ 288, 216 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,10,"SDD(Pr_24(1,13,17,5))",2637
"C4[ 288, 217 ]",288,576,semisymmetric,FALSE,TRUE,13600415470664578e8,944473296573929e7,23611832414348226e5,0,4,12,"SDD(AMC(8,3,[0.1:1.2]))",2638
"C4[ 288, 218 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(AMC(8,3,[0.1:1.2]);K2;{1,3,4,6})",2639
"C4[ 288, 219 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"BGCG(AMC(8,3,[0.1:1.2]);K2;{2,7})",2640
"C4[ 288, 220 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG({4,4}_12,0;K1;{2,10})",2641
"C4[ 288, 221 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG({4,4}_12,0;K1;{9,13})",2642
"C4[ 288, 222 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG({4,4}_12,0;K1;{17,24})",2643
"C4[ 288, 223 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG({4,4}_12,0;K1;{23,26})",2644
"C4[ 288, 224 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,8,"BGCG(PL(MSY(6,12,5,6));K1;2)",2645
"C4[ 288, 225 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(PL(MSY(6,12,5,6));K1;3)",2646
"C4[ 288, 226 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(PL(MSY(6,12,5,6));K1;4)",2647
"C4[ 288, 227 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,8,"BGCG(PL(MSY(6,12,5,6));K1;6)",2648
"C4[ 288, 228 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"BGCG(AMC(16,3,[0.1:1.2]);K1;1)",2649
"C4[ 288, 229 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(AMC(16,3,[0.1:1.2]);K1;{2,3})",2650
"C4[ 288, 230 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,16,"BGCG(AMC(16,3,[0.1:1.2]);K1;{4,7})",2651
"C4[ 288, 231 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,16,"BGCG(AMC(16,3,[0.1:1.2]);K1;6)",2652
"C4[ 288, 232 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,7,"BGCG(AMC(4,12,[9.5:4.9]);K1;{8,10})",2653
"C4[ 288, 233 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,7,"BGCG(AMC(4,12,[9.5:4.9]);K1;{9,11})",2654
"C4[ 288, 234 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,6,8,"BGCG(UG(ATD[144,3]);K1;1)",2655
"C4[ 288, 235 ]",288,576,semisymmetric,TRUE,TRUE,4608,32,8,0,8,6,"BGCG(UG(ATD[144,3]);K1;2)",2656
"C4[ 288, 236 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(UG(ATD[144,8]);K1;{2,6})",2657
"C4[ 288, 237 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(UG(ATD[144,8]);K1;{3,4})",2658
"C4[ 288, 238 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,6,"BGCG(UG(ATD[144,8]);K1;5)",2659
"C4[ 288, 239 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,6,"BGCG(UG(ATD[144,8]);K1;7)",2660
"C4[ 288, 240 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(UG(ATD[144,12]);K1;1)",2661
"C4[ 288, 241 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"BGCG(UG(ATD[144,12]);K1;4)",2662
"C4[ 288, 242 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"BGCG(UG(ATD[144,32]);K1;{1,2})",2663
"C4[ 288, 243 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,6,8,"BGCG(UG(ATD[144,32]);K1;4)",2664
"C4[ 288, 244 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,6,6,"BGCG(UG(ATD[144,32]);K1;5)",2665
"C4[ 288, 245 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,6,"BGCG(UG(ATD[144,32]);K1;{6,9})",2666
"C4[ 288, 246 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"BGCG(UG(ATD[144,33]);K1;3)",2667
"C4[ 288, 247 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"BGCG(UG(ATD[144,77]);K1;2)",2668
"C4[ 288, 248 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,9,"SS[288,1]",2669
"C4[ 288, 249 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,6,8,"SS[288,4]",2670
"C4[ 288, 250 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,6,8,"SS[288,5]",2671
"C4[ 288, 251 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,8,"SS[288,6]",2672
"C4[ 288, 252 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,4,8,"SS[288,8]",2673
"C4[ 288, 253 ]",288,576,semisymmetric,TRUE,TRUE,4608,32,8,0,6,8,"SS[288,9]",2674
"C4[ 288, 254 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,8,"SS[288,10]",2675
"C4[ 288, 255 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,8,8,"SS[288,11]",2676
"C4[ 288, 256 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"SS[288,15]",2677
"C4[ 288, 257 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,8,8,"SS[288,16]",2678
"C4[ 288, 258 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,8,8,"SS[288,20]",2679
"C4[ 288, 259 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,8,"SS[288,21]",2680
"C4[ 288, 260 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,8,"SS[288,24]",2681
"C4[ 288, 261 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,8,"SS[288,25]",2682
"C4[ 288, 262 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,10,"SS[288,26]",2683
